id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
318235,AD-0001,heliport,Terra Guindaldes Heliport,42.546257,1.51916,,EU,AD,AD-04,La Massana,no,,,,,,
338490,AD-0002,closed,Arinsal (Coll de la Botella) Heliport,42.544983,1.452258,,EU,AD,AD-04,La Massana,no,,,,,,
41841,AD-ALV,heliport,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511228,1.533651,3450,EU,AD,AD-08,Escaldes-Engordany,no,,,,,http://pl.wikipedia.org/wiki/Heliport_Andorra_la_Vella,
341860,AE-0039,heliport,Ajman Heliport,25.400838,55.440029,,AS,AE,AE-AJ,Ajman,no,,,,,,
341861,AE-0040,heliport,Safiya Beach Palace Heliport,25.424981,55.471788,,AS,AE,AE-AJ,Ajman,no,,,,,,
341871,AE-0050,heliport,Ajman Palace Heliport,25.394986,55.441451,,AS,AE,AE-AJ,Ajman,no,,,,,,
351862,AE-0142,heliport,Sheikh Khalifa Hospital Masfout Heliport,24.8199,56.0742,1199,AS,AE,AE-AJ,Masfout,no,,,,,,
352094,AE-0171,heliport,Sheikh Ahmed al-Nuaimi Palace Heliport,25.39841,55.5302,79,AS,AE,AE-AJ,Al Hamidiya,no,,,,,,
352095,AE-0172,heliport,Fairmont Ajman South Jetty Heliport,25.41837,55.4368,5,AS,AE,AE-AJ,Ajman,no,,,,,,
352096,AE-0173,heliport,Fairmont Ajman North Jetty Heliport,25.41974,55.43774,5,AS,AE,AE-AJ,Ajman,no,,,,,,
352097,AE-0174,heliport,Ruler's Divan Heliport,25.41877,55.44188,13,AS,AE,AE-AJ,Ajman,no,,,,,,
352098,AE-0175,heliport,Ajman Hotel Heliport,25.42565,55.44226,10,AS,AE,AE-AJ,Ajman,no,,,,,,
352099,AE-0176,heliport,Sheikh Rashid bin Humaid al-Nuaimi Mosque Heliport,25.40138,55.43938,3,AS,AE,AE-AJ,Ajman,no,,,,,,
313547,AE-0007,heliport,Al Ghuwaifat Border Post Helipad,24.120353,51.600516,157,AS,AE,AE-AZ,Al Ghuwaifat,no,,,,,,
313548,AE-0008,closed,Al Ghuwaifat Customs Post Helipad,24.128339,51.616767,161,AS,AE,AE-AZ,Al Ghuwaifat,no,,,,,,
315508,AE-0009,heliport,Delma Hospital Helipad,24.4756,52.3101,17,AS,AE,AE-AZ,Delma Island,no,,,,,,
319177,AE-0014,heliport,Ghantoot Racing & Polo Club Helipad,24.86824,54.905556,,AS,AE,AE-AZ,,no,,,,http://www.grpc.ae/helipad.html,,
319178,AE-0015,heliport,Golden Tulip Al Jazira Helipad,24.858628,54.894996,,AS,AE,AE-AZ,,no,,,,,,
319179,AE-0016,heliport,Ghantoot Hotel 1 Helipad,24.866038,54.88826,,AS,AE,AE-AZ,,no,,,,,,
319180,AE-0017,heliport,Ghantoot Hotel 2 Helipad,24.865417,54.882283,,AS,AE,AE-AZ,,no,,,,,,
319181,AE-0018,heliport,Ghantoot Hotel 3 Helipad,24.894949,54.860294,,AS,AE,AE-AZ,,no,,,,,,
319184,AE-0020,heliport,Yas Marina Heliport,24.468368,54.609561,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
319185,AE-0021,heliport,Yas Marina Circuit Heliport,24.469136,54.603443,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
319187,AE-0022,heliport,Al Mushrif Palace Helipad,24.452066,54.377368,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
319188,AE-0023,heliport,Al Forsan Heliport,24.408318,54.543228,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
319192,AE-0024,small_airport,Upper Yasat Island Airport,24.221075,52.006719,,AS,AE,AE-AZ,Al-Yasat,no,,,,,,
319193,AE-0025,heliport,Al Sila Former Hospital Heliport,24.068301,51.762519,135,AS,AE,AE-AZ,Baya Al Sila,no,,,,,,
340192,AE-0026,small_airport,Al Qaffay Airport,24.59017,51.72703,,AS,AE,AE-AZ,Al Qaffay,no,,,,,,
341676,AE-0027,closed,Abu Dhabi Airfield,24.45639,54.38989,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,https://en.wikipedia.org/wiki/Abu_Dhabi_Airfield,
341677,AE-0028,heliport,Crown Prince Court Helipad 1,24.45362,54.34601,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341678,AE-0029,heliport,Crown Prince Court Helipad 2,24.45439,54.34625,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341679,AE-0030,heliport,Federal National Council Helipad,24.46258,54.33235,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341680,AE-0031,heliport,Nation Tower Helipad,24.463993,54.327638,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341681,AE-0032,heliport,Sheikh Khalifa Medical City Heliport,24.47075,54.3633,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341682,AE-0033,heliport,Paragon Bay Helipad,24.4898,54.39109,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341683,AE-0034,heliport,Paragon Bay North Helipad,24.49421,54.39376,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341684,AE-0035,heliport,Sea Palace Helipad,24.46919,54.41083,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341685,AE-0036,heliport,Qasr al Bahr Heliport,24.46465,54.40819,,AS,AE,AE-AZ,Abu Dhabi,no,,,,,,
341923,AE-0065,small_airport,Camp Falaj Hazzaa Airfield,24.189055,55.715891,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341924,AE-0066,heliport,Technology College Helipad,24.173952,55.720791,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341925,AE-0067,heliport,Al Sarouj Helipad,24.204892,55.78561,,AS,AE,AE-AZ,Al Sarouj,no,,,,,,
341926,AE-0068,heliport,Sheikh Khalifa Palace Heliport,24.22204,55.756117,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341927,AE-0069,heliport,Al Ain Police Heliport,24.233273,55.741654,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341928,AE-0070,heliport,Sheikh Khalifa Mosque Heliport,24.226351,55.745309,,AS,AE,AE-AZ,Al Mu'tarid,no,,,,,,
341929,AE-0071,heliport,Al Jimi Civic Center Heliport,24.240232,55.737016,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341930,AE-0072,heliport,Qasr al Sarab Desert Resort Heliport,22.898675,54.339185,,AS,AE,AE-AZ,Al Mirayar,no,,,,,,
341932,AE-0073,heliport,Qasr al Sarab Royal Pavilion Heliport,22.894094,54.334232,,AS,AE,AE-AZ,Al Mirayar,no,,,,,,
341933,AE-0074,heliport,Bateen Liwa Heliport,22.971717,53.971761,,AS,AE,AE-AZ,Bateen Liwa,no,,,,,,
341934,AE-0075,heliport,Asab Heliport,23.299648,54.223716,,AS,AE,AE-AZ,Asab,no,,,,,,
341935,AE-0076,heliport,Asab Clinic Heliport,23.296093,54.227364,,AS,AE,AE-AZ,Asab,no,,,,,,
341936,AE-0077,heliport,Al Ain Tawam Hospital North Heliport,24.197767,55.647577,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341937,AE-0078,heliport,Al Ain Tawam Hospital South Heliport,24.193627,55.649822,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341938,AE-0079,heliport,Al Maqam Heliport,24.172039,55.64404,,AS,AE,AE-AZ,Al Maqam,no,,,,,,
341939,AE-0080,heliport,Al Ain Feed Mill Heliport,24.339833,55.751537,,AS,AE,AE-AZ,Al Ain,no,,,,,,
341940,AE-0081,heliport,Mezyad Police Heliport,24.028763,55.846326,,AS,AE,AE-AZ,Al Ain,no,,,,,,
343800,AE-0086,small_airport,Abu Al Abyad Airfield,24.182347,53.867532,20,AS,AE,AE-AZ,Abu Al Abyad,no,,,,,,
343801,AE-0087,heliport,Khardal Heliport,24.435946,51.543313,20,AS,AE,AE-AZ,Khardal,no,,,,,,
348677,AE-0089,small_airport,Ghantoot Naval Airfield,24.88443,54.84281,7,AS,AE,AE-AZ,Ghadeer Al Tayr,no,,,,,,
348684,AE-0090,small_airport,Marawah Airport,24.27215,53.32545,20,AS,AE,AE-AZ,Marawah,no,,,,,,
348685,AE-0091,small_airport,Lower Yasat Island Airport,24.18884,51.99655,,AS,AE,AE-AZ,Al-Yasat,no,,,,,,
348686,AE-0092,small_airport,Ras Ghumais Air Base,24.34092,51.60276,125,AS,AE,AE-AZ,Ras Ghumais,no,,,,,,
